Date,Title,Amount,Type,Category,Account
2025-07-01,Parkir,15907.28,EXPENSE,Tagihan,Gopay
2025-07-01,Iuran Bulanan,12793.08,EXPENSE,Tagihan,BCA
2025-07-01,Lain-lain,695.24,EXPENSE,Uncategorized,Gopay
2025-07-01,Streaming,13464.1,EXPENSE,Hiburan,Dompet Tunai
2025-07-01,Warung Nasi,17475.95,EXPENSE,Makan & Minum,Dompet Tunai
2025-07-02,Internet,11967.09,EXPENSE,Tagihan,Gopay
2025-07-02,Gofood,12037.66,EXPENSE,Makan & Minum,BCA
2025-07-02,Tissue,12307.09,EXPENSE,Belanja,BCA
2025-07-02,Alfamart,16031.74,EXPENSE,Belanja,Dompet Tunai
2025-07-02,Bioskop,8930.56,EXPENSE,Hiburan,Dompet Tunai
2025-07-02,Iuran Bulanan,1011.65,EXPENSE,Tagihan,BCA
2025-07-03,Streaming,4068.55,EXPENSE,Hiburan,BCA
2025-07-03,Makan Siang,17301.34,EXPENSE,Makan & Minum,BCA
2025-07-03,Tissue,273.11,EXPENSE,Belanja,Dompet Tunai
2025-07-03,Belanja Mingguan,8251.71,EXPENSE,Belanja,BCA
2025-07-03,Lain-lain,14623.24,EXPENSE,Uncategorized,Gopay
2025-07-04,Parkir,8722.01,EXPENSE,Tagihan,Dompet Tunai
2025-07-04,Streaming,5265.33,EXPENSE,Hiburan,Gopay
2025-07-04,Cemilan,13467.9,EXPENSE,Makan & Minum,BCA
2025-07-04,Belanja Mingguan,224.99,EXPENSE,Belanja,BCA
2025-07-04,Bonus,223016.47,INCOME,Gaji,Gopay
2025-07-04,Biaya Admin,8005.71,EXPENSE,Uncategorized,Dompet Tunai
2025-07-05,Internet,12773.71,EXPENSE,Tagihan,Dompet Tunai
2025-07-05,Jajan Sore,6691.51,EXPENSE,Makan & Minum,BCA
2025-07-05,Top up Game,11737.77,EXPENSE,Hiburan,Dompet Tunai
2025-07-05,Biaya Admin,18706.61,EXPENSE,Uncategorized,Gopay
2025-07-05,Investasi,138872.97,INCOME,Goals,Gopay
2025-07-06,Lain-lain,717.18,EXPENSE,Uncategorized,Gopay
2025-07-06,Cemilan,12173.07,EXPENSE,Makan & Minum,Dompet Tunai
2025-07-06,Cashback,152411.12,INCOME,Goals,Gopay
2025-07-06,Gofood,15600.68,EXPENSE,Makan & Minum,Gopay
2025-07-06,Bunga Bank,2515.05,INCOME,Goals,BCA
